city	country	lat	lng	whether
Tokyo	Japan	35.685	139.7514	https://www.google.com/search?q=tokyo+whether&rlz=1C1VDKB_enUS1138US1138&oq=tokyo+whether&gs_lcrp=EgZjaHJvbWUyBggAEEUYOTIRCAEQABgKGEYYgAIYsQMYgAQyCQgCEAAYChiABDIJCAMQABgKGIAEMgwIBBAAGAoYsQMYgAQyCQgFEAAYChiABDIJCAYQABgKGIAEMg8IBxAAGAoYgwEYsQMYgAQyDwgIEAAYChiDARixAxiABDIJCAkQABgKGIAE0gEIMjk2N2owajeoAgCwAgA&sourceid=chrome&ie=UTF-8
New York	United States	40.6943	-73.9249	https://www.google.com/search?q=new+york+whether&rlz=1C1VDKB_enUS1138US1138&oq=new&gs_lcrp=EgZjaHJvbWUqBggAEEUYOzIGCAAQRRg7MgYIARBFGDkyEQgCECMYJxhGGIACGIAEGIoFMgwIAxAjGCcYgAQYigUyBggEEEUYPDIGCAUQRRg8MgYIBhBFGDwyBggHEEUYPNIBBzg2MGowajeoAgCwAgA&sourceid=chrome&ie=UTF-8
Mexico City	Mexico	19.4424	-99.131	https://www.google.com/search?q=mexico+city+whether&rlz=1C1VDKB_enUS1138US1138&oq=mex&gs_lcrp=EgZjaHJvbWUqBggAEEUYOzIGCAAQRRg7Mg8IARAuGEMYsQMYgAQYigUyDAgCECMYJxiABBiKBTIGCAMQRRg5MgwIBBAAGEMYgAQYigUyDwgFEC4YQxixAxiABBiKBTIGCAYQRRg8MgYIBxBFGDzSAQgxMzAxajBqN6gCALACAA&sourceid=chrome&ie=UTF-8
Mumbai	India	19.017	72.857	https://www.google.com/search?q=mumbai+city+whether&rlz=1C1VDKB_enUS1138US1138&oq=mum&gs_lcrp=EgZjaHJvbWUqBggAEEUYOzIGCAAQRRg7Mg8IARAjGCcYnQIYgAQYigUyBggCEEUYOTIKCAMQLhixAxiABDIMCAQQIxgnGIAEGIoFMgwIBRAuGEMYgAQYigUyBggGEEUYPTIGCAcQRRg80gEHNjM4ajBqN6gCCLACAQ&sourceid=chrome&ie=UTF-8
São Paulo	Brazil	-23.5587	-46.625	https://www.google.com/search?q=sao+paulo+weather&rlz=1C1VDKB_enUS1138US1138&oq=sau+pa&gs_lcrp=EgZjaHJvbWUqEAgBEAAYkQIYsQMYgAQYigUyBggAEEUYOTIQCAEQABiRAhixAxiABBiKBTIQCAIQLhiRAhixAxiABBiKBTIMCAMQABgKGLEDGIAEMgwIBBAAGAoYsQMYgAQyDAgFEAAYChixAxiABDISCAYQLhgKGK8BGMcBGLEDGIAEMgwIBxAuGAoYsQMYgAQyCQgIEAAYChiABDIJCAkQABgKGIAE0gEIMjc5M2owajeoAgCwAgA&sourceid=chrome&ie=UTF-8
Delhi	India	28.67	77.23	https://www.google.com/search?q=delhi+weather&rlz=1C1VDKB_enUS1138US1138&oq=delhi+whe&gs_lcrp=EgZjaHJvbWUqGAgBEAAYRhiDARiAAhiRAhixAxiABBiKBTIGCAAQRRg5MhgIARAAGEYYgwEYgAIYkQIYsQMYgAQYigUyDQgCEAAYkQIYgAQYigUyEwgDEAAYgwEYkQIYsQMYgAQYigUyDQgEEAAYkQIYgAQYigUyBwgFEAAYgAQyBwgGEAAYgAQyCQgHEAAYChiABDIJCAgQABgKGIAEMgkICRAAGAoYgATSAQgzNTQyajBqN6gCCLACAQ&sourceid=chrome&ie=UTF-8
